year,name,id,num_searches
2010,War Thunder,236390,4
2011,War Thunder,236390,12
2012,War Thunder,236390,42
2013,War Thunder,236390,701
2014,War Thunder,236390,830
2015,War Thunder,236390,724
2016,War Thunder,236390,489
2017,War Thunder,236390,412
2018,War Thunder,236390,375
2019,War Thunder,236390,306
2020,War Thunder,236390,396
2021,War Thunder,236390,395
2022,War Thunder,236390,651
2023,War Thunder,236390,276
2017,Phasmophobia,739630,0
2018,Phasmophobia,739630,0
2019,Phasmophobia,739630,0
2020,Phasmophobia,739630,186
2021,Phasmophobia,739630,211
2022,Phasmophobia,739630,228
2023,Phasmophobia,739630,67
2017,Microsoft Flight Simulator 40th Anniversary Edition,1250410,0
2018,Microsoft Flight Simulator 40th Anniversary Edition,1250410,92
2019,Microsoft Flight Simulator 40th Anniversary Edition,1250410,45
2020,Microsoft Flight Simulator 40th Anniversary Edition,1250410,14
2021,Microsoft Flight Simulator 40th Anniversary Edition,1250410,47
2022,Microsoft Flight Simulator 40th Anniversary Edition,1250410,239
2023,Microsoft Flight Simulator 40th Anniversary Edition,1250410,299
2010,DCS World Steam Edition,223750,115
2011,DCS World Steam Edition,223750,90
2012,DCS World Steam Edition,223750,110
2013,DCS World Steam Edition,223750,55
2014,DCS World Steam Edition,223750,36
2015,DCS World Steam Edition,223750,71
2016,DCS World Steam Edition,223750,26
2017,DCS World Steam Edition,223750,15
2018,DCS World Steam Edition,223750,120
2019,DCS World Steam Edition,223750,269
2020,DCS World Steam Edition,223750,552
2021,DCS World Steam Edition,223750,356
2022,DCS World Steam Edition,223750,798
2023,DCS World Steam Edition,223750,229
2014,VRChat,438100,0
2015,VRChat,438100,0
2016,VRChat,438100,0
2017,VRChat,438100,0
2018,VRChat,438100,0
2019,VRChat,438100,0
2020,VRChat,438100,0
2021,VRChat,438100,0
2022,VRChat,438100,0
2023,VRChat,438100,100
2016,Assetto Corsa Competizione,805550,0
2017,Assetto Corsa Competizione,805550,1
2018,Assetto Corsa Competizione,805550,145
2019,Assetto Corsa Competizione,805550,247
2020,Assetto Corsa Competizione,805550,621
2021,Assetto Corsa Competizione,805550,447
2022,Assetto Corsa Competizione,805550,644
2023,Assetto Corsa Competizione,805550,203
2012,Assetto Corsa,244210,14
2013,Assetto Corsa,244210,67
2014,Assetto Corsa,244210,224
2015,Assetto Corsa,244210,275
2016,Assetto Corsa,244210,291
2017,Assetto Corsa,244210,286
2018,Assetto Corsa,244210,237
2019,Assetto Corsa,244210,237
2020,Assetto Corsa,244210,419
2021,Assetto Corsa,244210,418
2022,Assetto Corsa,244210,869
2023,Assetto Corsa,244210,366
2019,Escape the Backrooms,1943950,5
2020,Escape the Backrooms,1943950,23
2021,Escape the Backrooms,1943950,29
2022,Escape the Backrooms,1943950,620
2023,Escape the Backrooms,1943950,1063
2016,Beat Saber,620980,0
2017,Beat Saber,620980,0
2018,Beat Saber,620980,393
2019,Beat Saber,620980,638
2020,Beat Saber,620980,696
2021,Beat Saber,620980,645
2022,Beat Saber,620980,640
2023,Beat Saber,620980,158
2012,iRacing,266410,129
2013,iRacing,266410,157
2014,iRacing,266410,159
2015,iRacing,266410,162
2016,iRacing,266410,132
2017,iRacing,266410,149
2018,iRacing,266410,139
2019,iRacing,266410,178
2020,iRacing,266410,400
2021,iRacing,266410,235
2022,iRacing,266410,278
2023,iRacing,266410,96
2013,No Man's Sky,275850,1
2014,No Man's Sky,275850,10
2015,No Man's Sky,275850,26
2016,No Man's Sky,275850,161
2017,No Man's Sky,275850,36
2018,No Man's Sky,275850,69
2019,No Man's Sky,275850,44
2020,No Man's Sky,275850,58
2021,No Man's Sky,275850,43
2022,No Man's Sky,275850,50
2023,No Man's Sky,275850,13
2019,HITMAN 3,1659040,49
2020,HITMAN 3,1659040,119
2021,HITMAN 3,1659040,701
2022,HITMAN 3,1659040,476
2023,HITMAN 3,1659040,150
2012,Tabletop Simulator,286160,0
2013,Tabletop Simulator,286160,0
2014,Tabletop Simulator,286160,64
2015,Tabletop Simulator,286160,141
2016,Tabletop Simulator,286160,175
2017,Tabletop Simulator,286160,157
2018,Tabletop Simulator,286160,138
2019,Tabletop Simulator,286160,123
2020,Tabletop Simulator,286160,408
2021,Tabletop Simulator,286160,192
2022,Tabletop Simulator,286160,214
2023,Tabletop Simulator,286160,68
2020,Ghosts of Tabor,1957780,17
2021,Ghosts of Tabor,1957780,22
2022,Ghosts of Tabor,1957780,36
2023,Ghosts of Tabor,1957780,359
2014,VTOL VR,667970,0
2015,VTOL VR,667970,4
2016,VTOL VR,667970,2
2017,VTOL VR,667970,25
2018,VTOL VR,667970,53
2019,VTOL VR,667970,70
2020,VTOL VR,667970,171
2021,VTOL VR,667970,207
2022,VTOL VR,667970,716
2023,VTOL VR,667970,248
2017,Half-Life: Alyx,546560,8
2018,Half-Life: Alyx,546560,4
2019,Half-Life: Alyx,546560,45
2020,Half-Life: Alyx,546560,307
2021,Half-Life: Alyx,546560,128
2022,Half-Life: Alyx,546560,155
2023,Half-Life: Alyx,546560,65
2018,Resident Evil Village,1196590,0
2019,Resident Evil Village,1196590,0
2020,Resident Evil Village,1196590,15
2021,Resident Evil Village,1196590,554
2022,Resident Evil Village,1196590,193
2023,Resident Evil Village,1196590,59
2020,Gorilla Tag,1533390,6
2021,Gorilla Tag,1533390,529
2022,Gorilla Tag,1533390,2274
2023,Gorilla Tag,1533390,1439
2015,War Robots,767560,95
2016,War Robots,767560,403
2017,War Robots,767560,1022
2018,War Robots,767560,941
2019,War Robots,767560,589
2020,War Robots,767560,555
2021,War Robots,767560,416
2022,War Robots,767560,422
2023,War Robots,767560,134
2016,Blade and Sorcery,629730,0
2017,Blade and Sorcery,629730,0
2018,Blade and Sorcery,629730,21
2019,Blade and Sorcery,629730,162
2020,Blade and Sorcery,629730,274
2021,Blade and Sorcery,629730,431
2022,Blade and Sorcery,629730,852
2023,Blade and Sorcery,629730,284
2020,Breachers,1922010,255
2021,Breachers,1922010,339
2022,Breachers,1922010,695
2023,Breachers,1922010,789
2014,Resident Evil 7 Biohazard,418370,7
2015,Resident Evil 7 Biohazard,418370,7
2016,Resident Evil 7 Biohazard,418370,63
2017,Resident Evil 7 Biohazard,418370,372
2018,Resident Evil 7 Biohazard,418370,136
2019,Resident Evil 7 Biohazard,418370,113
2020,Resident Evil 7 Biohazard,418370,123
2021,Resident Evil 7 Biohazard,418370,137
2022,Resident Evil 7 Biohazard,418370,105
2023,Resident Evil 7 Biohazard,418370,39
2012,Universe Sandbox,230290,59
2013,Universe Sandbox,230290,129
2014,Universe Sandbox,230290,138
2015,Universe Sandbox,230290,350
2016,Universe Sandbox,230290,344
2017,Universe Sandbox,230290,273
2018,Universe Sandbox,230290,228
2019,Universe Sandbox,230290,238
2020,Universe Sandbox,230290,225
2021,Universe Sandbox,230290,188
2022,Universe Sandbox,230290,205
2023,Universe Sandbox,230290,96
2012,Elite Dangerous,359320,3
2013,Elite Dangerous,359320,16
2014,Elite Dangerous,359320,243
2015,Elite Dangerous,359320,680
2016,Elite Dangerous,359320,417
2017,Elite Dangerous,359320,475
2018,Elite Dangerous,359320,360
2019,Elite Dangerous,359320,260
2020,Elite Dangerous,359320,351
2021,Elite Dangerous,359320,278
2022,Elite Dangerous,359320,210
2023,Elite Dangerous,359320,59
2018,DEVOUR,1274570,501
2019,DEVOUR,1274570,625
2020,DEVOUR,1274570,613
2021,DEVOUR,1274570,901
2022,DEVOUR,1274570,980
2023,DEVOUR,1274570,319
2016,MX Bikes,655500,25
2017,MX Bikes,655500,150
2018,MX Bikes,655500,146
2019,MX Bikes,655500,148
2020,MX Bikes,655500,223
2021,MX Bikes,655500,544
2022,MX Bikes,655500,855
2023,MX Bikes,655500,320
2014,CarX Drift Racing Online,635260,0
2015,CarX Drift Racing Online,635260,35
2016,CarX Drift Racing Online,635260,33
2017,CarX Drift Racing Online,635260,94
2018,CarX Drift Racing Online,635260,101
2019,CarX Drift Racing Online,635260,81
2020,CarX Drift Racing Online,635260,358
2021,CarX Drift Racing Online,635260,861
2022,CarX Drift Racing Online,635260,1020
2023,CarX Drift Racing Online,635260,328
2016,SpaceEngine,314650,302
2017,SpaceEngine,314650,278
2018,SpaceEngine,314650,290
2019,SpaceEngine,314650,406
2020,SpaceEngine,314650,241
2021,SpaceEngine,314650,204
2022,SpaceEngine,314650,302
2023,SpaceEngine,314650,236
2020,Vertigo 2,843390,1060
2021,Vertigo 2,843390,1342
2022,Vertigo 2,843390,1761
2023,Vertigo 2,843390,805
2018,Rec Room,471710,371
2019,Rec Room,471710,1251
2020,Rec Room,471710,1115
2021,Rec Room,471710,2376
2022,Rec Room,471710,3610
2023,Rec Room,471710,784
2017,STAR WARS™: Squadrons,1222730,34
2018,STAR WARS™: Squadrons,1222730,0
2019,STAR WARS™: Squadrons,1222730,64
2020,STAR WARS™: Squadrons,1222730,115
2021,STAR WARS™: Squadrons,1222730,79
2022,STAR WARS™: Squadrons,1222730,169
2023,STAR WARS™: Squadrons,1222730,0
2019,BONELAB,1592190,1
2020,BONELAB,1592190,1
2021,BONELAB,1592190,1
2022,BONELAB,1592190,477
2023,BONELAB,1592190,201
2014,Pavlov VR,555160,7
2015,Pavlov VR,555160,1
2016,Pavlov VR,555160,5
2017,Pavlov VR,555160,76
2018,Pavlov VR,555160,220
2019,Pavlov VR,555160,425
2020,Pavlov VR,555160,498
2021,Pavlov VR,555160,582
2022,Pavlov VR,555160,645
2023,Pavlov VR,555160,223
